timestamp,datetime,boomAngle,extensionMM,measuredLoad,actualLoad,swingAngle,ropeLength,fsr1,fsr2,fsr3,fsr4,imuRoll,imuPitch,safeLoadLimit,loadPercent,alarmLevel
1789649643.4027886,2026-09-17T18:24:03.402789,-17.69,0.0,566876.0,0.0,88.86,28.9,0,0,0,0,-17.69,-2.8,5.0,0.0,0
1789649643.4235396,2026-09-17T18:24:03.423540,-17.69,0.0,566876.0,0.0,88.86,28.9,0,0,0,0,-17.69,-2.8,5.0,0.0,0
1789649643.446508,2026-09-17T18:24:03.446508,-17.7,0.0,566870.0,0.0,88.86,28.9,0,0,0,0,-17.7,-2.8,5.0,0.0,0
1789649643.4671857,2026-09-17T18:24:03.467186,-17.7,0.0,566870.0,0.0,88.86,28.9,0,0,0,0,-17.7,-2.8,5.0,0.0,0
1789649643.483773,2026-09-17T18:24:03.483773,-17.7,0.0,566870.0,0.0,88.86,28.9,0,0,0,0,-17.7,-2.8,5.0,0.0,0
1789649643.5030622,2026-09-17T18:24:03.503062,-17.7,0.0,566870.0,0.0,88.86,28.9,0,0,0,0,-17.7,-2.8,5.0,0.0,0
1789649643.523139,2026-09-17T18:24:03.523139,-17.7,0.0,566870.0,0.0,88.86,28.9,0,0,0,0,-17.7,-2.8,5.0,0.0,0
1789649643.5430336,2026-09-17T18:24:03.543034,-17.7,0.0,566870.0,0.0,88.86,28.9,0,0,0,0,-17.7,-2.81,5.0,0.0,0
1789649643.5715904,2026-09-17T18:24:03.571590,-17.7,0.0,566870.0,0.0,88.86,28.9,0,0,0,0,-17.7,-2.81,5.0,0.0,0
1789649643.5829852,2026-09-17T18:24:03.582985,-17.7,0.0,566870.0,0.0,88.86,28.9,0,0,0,0,-17.7,-2.81,5.0,0.0,0
1789649643.6024575,2026-09-17T18:24:03.602458,-17.7,0.0,566870.0,0.0,88.86,28.9,0,0,0,0,-17.7,-2.81,5.0,0.0,0
1789649643.6226618,2026-09-17T18:24:03.622662,-17.7,0.0,566856.0,0.0,88.86,28.9,0,0,0,0,-17.7,-2.81,5.0,0.0,0
1789649643.64385,2026-09-17T18:24:03.643850,-17.7,0.0,566856.0,0.0,88.86,28.9,0,0,0,0,-17.7,-2.81,5.0,0.0,0
1789649643.6629148,2026-09-17T18:24:03.662915,-17.7,0.0,566856.0,0.0,88.86,28.9,0,0,0,0,-17.7,-2.82,5.0,0.0,0
1789649643.6825423,2026-09-17T18:24:03.682542,-17.7,0.0,566856.0,0.0,88.86,28.9,0,0,0,0,-17.7,-2.81,5.0,0.0,0
1789649643.7030659,2026-09-17T18:24:03.703066,-17.7,0.0,566856.0,0.0,88.86,28.9,0,0,0,0,-17.7,-2.81,5.0,0.0,0
1789649643.722531,2026-09-17T18:24:03.722531,-17.7,0.0,566856.0,0.0,88.86,28.9,0,0,0,0,-17.7,-2.81,5.0,0.0,0
1789649643.7425358,2026-09-17T18:24:03.742536,-17.7,0.0,566856.0,0.0,88.86,28.9,0,0,0,0,-17.7,-2.81,5.0,0.0,0
1789649643.7631786,2026-09-17T18:24:03.763179,-17.7,0.0,566856.0,0.0,88.86,28.9,0,0,0,0,-17.7,-2.81,5.0,0.0,0
1789649643.783129,2026-09-17T18:24:03.783129,-17.7,0.0,566856.0,0.0,88.86,28.9,0,0,0,0,-17.7,-2.81,5.0,0.0,0
1789649643.8039763,2026-09-17T18:24:03.803976,-17.7,0.0,566894.0,0.0,88.86,28.9,0,0,0,0,-17.7,-2.81,5.0,0.0,0
1789649643.8235593,2026-09-17T18:24:03.823559,-17.71,0.0,566894.0,0.0,88.86,28.9,0,0,0,0,-17.71,-2.82,5.0,0.0,0
1789649643.8428032,2026-09-17T18:24:03.842803,-17.71,0.0,566894.0,0.0,88.86,28.9,0,0,0,0,-17.71,-2.81,5.0,0.0,0
1789649643.8627052,2026-09-17T18:24:03.862705,-17.7,0.0,566894.0,0.0,88.86,28.9,0,0,0,0,-17.7,-2.81,5.0,0.0,0
1789649643.8829596,2026-09-17T18:24:03.882960,-17.7,0.0,566894.0,0.0,88.86,28.9,0,0,0,0,-17.7,-2.8,5.0,0.0,0
1789649643.9026246,2026-09-17T18:24:03.902625,-17.7,0.0,566894.0,0.0,88.86,28.9,0,0,0,0,-17.7,-2.81,5.0,0.0,0
1789649643.9224408,2026-09-17T18:24:03.922441,-17.7,0.0,566894.0,0.0,88.86,28.9,0,0,0,0,-17.7,-2.81,5.0,0.0,0
1789649643.942436,2026-09-17T18:24:03.942436,-17.7,0.0,566894.0,0.0,88.86,28.9,0,0,0,0,-17.7,-2.81,5.0,0.0,0
1789649643.9625368,2026-09-17T18:24:03.962537,-17.7,0.0,566894.0,0.0,88.86,28.9,0,0,0,0,-17.7,-2.81,5.0,0.0,0
1789649643.9829555,2026-09-17T18:24:03.982955,-17.7,0.0,566894.0,0.0,88.86,28.9,0,0,0,0,-17.7,-2.81,5.0,0.0,0
1789649644.0030966,2026-09-17T18:24:04.003097,-17.69,0.0,566898.0,0.0,88.86,28.9,0,0,0,0,-17.69,-2.8,5.0,0.0,0
1789649644.0225964,2026-09-17T18:24:04.022596,-17.69,0.0,566898.0,0.0,88.86,28.9,0,0,0,0,-17.69,-2.8,5.0,0.0,0
1789649644.042778,2026-09-17T18:24:04.042778,-17.69,0.0,566898.0,0.0,88.86,28.9,0,0,0,0,-17.69,-2.8,5.0,0.0,0
1789649644.0631888,2026-09-17T18:24:04.063189,-17.69,0.0,566898.0,0.0,88.86,28.9,0,0,0,0,-17.69,-2.81,5.0,0.0,0
