timestamp,datetime,boomAngle,extensionMM,measuredLoad,actualLoad,swingAngle,ropeLength,fsr1,fsr2,fsr3,fsr4,imuRoll,imuPitch,safeLoadLimit,loadPercent,alarmLevel
1789653982.552049,2026-09-17T19:36:22.552049,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,5.0,0.0,0
1789653982.560481,2026-09-17T19:36:22.560481,6.9,-15.8,0.0,0.0,97.47,2.1,0,0,0,0,6.9,18.66,5.0,0.0,0
1789653982.5833375,2026-09-17T19:36:22.583338,6.89,-15.8,0.0,0.0,97.47,4.0,0,0,0,0,6.89,18.66,5.0,0.0,0
1789653982.6026533,2026-09-17T19:36:22.602653,6.89,-15.8,0.0,0.0,97.47,5.9,0,0,0,0,6.89,18.65,5.0,0.0,0
1789653982.6226122,2026-09-17T19:36:22.622612,6.89,-15.8,0.0,0.0,97.47,7.7,0,0,0,0,6.89,18.65,5.0,0.0,0
1789653982.6433482,2026-09-17T19:36:22.643348,6.9,-15.8,0.0,0.0,97.47,8.6,0,0,0,0,6.9,18.66,5.0,0.0,0
1789653982.66316,2026-09-17T19:36:22.663160,6.9,-15.8,0.0,0.0,97.47,8.6,0,0,0,0,6.9,18.66,5.0,0.0,0
1789653982.682919,2026-09-17T19:36:22.682919,6.9,-15.8,0.0,0.0,97.47,8.6,0,0,0,0,6.9,18.66,5.0,0.0,0
1789653982.7025445,2026-09-17T19:36:22.702544,6.9,-15.8,0.0,0.0,97.47,8.6,0,0,0,0,6.9,18.66,5.0,0.0,0
1789653982.7235575,2026-09-17T19:36:22.723557,6.9,-15.8,566727.0,0.0,97.47,15.6,0,0,0,0,6.9,18.66,5.0,0.0,0
1789653982.743539,2026-09-17T19:36:22.743539,6.92,-15.8,566727.0,0.0,97.47,16.8,0,0,0,0,6.92,18.65,5.0,0.0,0
1789653982.7634702,2026-09-17T19:36:22.763470,6.92,-15.8,566727.0,0.0,97.47,18.0,0,0,0,0,6.92,18.66,5.0,0.0,0
1789653982.7833087,2026-09-17T19:36:22.783309,6.93,-15.8,566727.0,0.0,97.47,19.1,0,0,0,0,6.93,18.67,5.0,0.0,0
1789653982.8040206,2026-09-17T19:36:22.804021,6.94,-15.8,566727.0,0.0,97.47,20.1,0,0,0,0,6.94,18.67,5.0,0.0,0
1789653982.824054,2026-09-17T19:36:22.824054,6.95,-15.8,566727.0,0.0,97.47,20.7,0,0,0,0,6.95,18.67,5.0,0.0,0
1789653982.8437212,2026-09-17T19:36:22.843721,6.95,-15.8,566727.0,0.0,97.47,20.7,0,0,0,0,6.95,18.67,5.0,0.0,0
1789653982.8579757,2026-09-17T19:36:22.857976,6.95,-15.8,566727.0,0.0,97.47,20.7,0,0,0,0,6.95,18.67,5.0,0.0,0
1789653982.8834314,2026-09-17T19:36:22.883431,6.95,-15.8,566727.0,0.0,97.47,20.7,0,0,0,0,6.95,18.67,5.0,0.0,0
1789653982.9031985,2026-09-17T19:36:22.903198,6.95,-15.8,566727.0,0.0,97.47,20.7,0,0,0,0,6.95,18.67,5.0,0.0,0
1789653982.9235663,2026-09-17T19:36:22.923566,6.93,-15.8,566696.0,0.0,97.47,24.8,0,0,0,0,6.93,18.66,5.0,0.0,0
1789653982.943105,2026-09-17T19:36:22.943105,6.92,-15.8,566696.0,0.0,97.47,25.4,0,0,0,0,6.92,18.65,5.0,0.0,0
1789653982.9640007,2026-09-17T19:36:22.964001,6.92,-15.8,566696.0,0.0,97.47,26.0,0,0,0,0,6.92,18.65,5.0,0.0,0
1789653982.9838295,2026-09-17T19:36:22.983829,6.94,-15.8,566696.0,0.0,97.47,26.5,0,0,0,0,6.94,18.67,5.0,0.0,0
1789653983.0035253,2026-09-17T19:36:23.003525,6.95,-15.8,566696.0,0.0,97.47,26.8,0,0,0,0,6.95,18.67,5.0,0.0,0
1789653983.0233517,2026-09-17T19:36:23.023352,6.95,-15.8,566696.0,0.0,97.47,26.8,0,0,0,0,6.95,18.67,5.0,0.0,0
1789653983.043671,2026-09-17T19:36:23.043671,6.95,-15.8,566696.0,0.0,97.47,26.8,0,0,0,0,6.95,18.67,5.0,0.0,0
1789653983.063178,2026-09-17T19:36:23.063178,6.95,-15.8,566696.0,0.0,97.47,26.8,0,0,0,0,6.95,18.67,5.0,0.0,0
1789653983.0840383,2026-09-17T19:36:23.084038,6.95,-15.8,566696.0,0.0,97.47,26.8,0,0,0,0,6.95,18.67,5.0,0.0,0
1789653983.103884,2026-09-17T19:36:23.103884,6.94,-15.8,566714.0,0.0,97.47,27.9,0,0,0,0,6.94,18.66,5.0,0.0,0
1789653983.1229303,2026-09-17T19:36:23.122930,6.94,-15.8,566714.0,0.0,97.47,27.9,0,0,0,0,6.94,18.67,5.0,0.0,0
1789653983.143503,2026-09-17T19:36:23.143503,6.94,-15.8,566714.0,0.0,97.47,27.9,0,0,0,0,6.94,18.67,5.0,0.0,0
1789653983.1632705,2026-09-17T19:36:23.163270,6.95,-15.8,566714.0,0.0,97.47,27.9,0,0,0,0,6.95,18.67,5.0,0.0,0
1789653983.183404,2026-09-17T19:36:23.183404,6.95,-15.8,566714.0,0.0,97.47,27.9,0,0,0,0,6.95,18.67,5.0,0.0,0
1789653983.203607,2026-09-17T19:36:23.203607,6.95,-15.8,566714.0,0.0,97.47,27.9,0,0,0,0,6.95,18.67,5.0,0.0,0
1789653983.2237282,2026-09-17T19:36:23.223728,6.95,-15.8,566714.0,0.0,97.47,27.9,0,0,0,0,6.95,18.67,5.0,0.0,0
1789653983.2434084,2026-09-17T19:36:23.243408,6.95,-15.8,566714.0,0.0,97.47,27.9,0,0,0,0,6.95,18.67,5.0,0.0,0
1789653983.262752,2026-09-17T19:36:23.262752,6.95,-15.8,566714.0,0.0,97.47,27.9,0,0,0,0,6.95,18.67,5.0,0.0,0
1789653983.2834108,2026-09-17T19:36:23.283411,6.94,-15.8,566721.0,0.0,97.47,27.9,0,0,0,0,6.94,18.66,5.0,0.0,0
1789653983.3032072,2026-09-17T19:36:23.303207,6.94,-15.8,566721.0,0.0,97.47,27.9,0,0,0,0,6.94,18.66,5.0,0.0,0
1789653983.3230534,2026-09-17T19:36:23.323053,6.94,-15.8,566721.0,0.0,97.47,27.9,0,0,0,0,6.94,18.67,5.0,0.0,0
1789653983.3439395,2026-09-17T19:36:23.343940,6.96,-15.8,566721.0,0.0,97.47,27.9,0,0,0,0,6.96,18.67,5.0,0.0,0
