timestamp,datetime,boomAngle,extensionMM,measuredLoad,actualLoad,swingAngle,ropeLength,fsr1,fsr2,fsr3,fsr4,imuRoll,imuPitch,safeLoadLimit,loadPercent,alarmLevel
1789648859.1085997,2026-09-17T18:10:59.108600,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,5.0,0.0,0
1789648859.1202984,2026-09-17T18:10:59.120298,-17.44,0.0,0.0,0.0,89.12,2.2,0,0,0,0,-17.44,-2.57,5.0,0.0,0
1789648859.1402977,2026-09-17T18:10:59.140298,-17.44,0.0,0.0,0.0,89.12,4.2,0,0,0,0,-17.44,-2.57,5.0,0.0,0
1789648859.1597557,2026-09-17T18:10:59.159756,-17.44,0.0,0.0,0.0,89.12,6.1,0,0,0,0,-17.44,-2.58,5.0,0.0,0
1789648859.1799548,2026-09-17T18:10:59.179955,-17.44,0.0,0.0,0.0,89.12,8.0,0,0,0,0,-17.44,-2.59,5.0,0.0,0
1789648859.199957,2026-09-17T18:10:59.199957,-17.43,0.0,0.0,0.0,89.12,8.9,0,0,0,0,-17.43,-2.59,5.0,0.0,0
1789648859.2200735,2026-09-17T18:10:59.220073,-17.43,0.0,0.0,0.0,89.12,8.9,0,0,0,0,-17.43,-2.59,5.0,0.0,0
1789648859.240074,2026-09-17T18:10:59.240074,-17.43,0.0,0.0,0.0,89.12,8.9,0,0,0,0,-17.43,-2.59,5.0,0.0,0
1789648859.2596796,2026-09-17T18:10:59.259680,-17.43,0.0,0.0,0.0,89.12,8.9,0,0,0,0,-17.43,-2.59,5.0,0.0,0
1789648859.2809575,2026-09-17T18:10:59.280957,-17.43,0.0,566845.0,0.0,89.12,16.2,0,0,0,0,-17.43,-2.58,5.0,0.0,0
1789648859.300498,2026-09-17T18:10:59.300498,-17.46,0.0,566845.0,0.0,89.12,17.4,0,0,0,0,-17.46,-2.6,5.0,0.0,0
1789648859.32093,2026-09-17T18:10:59.320930,-17.46,0.0,566845.0,0.0,89.12,18.6,0,0,0,0,-17.46,-2.6,5.0,0.0,0
1789648859.3416018,2026-09-17T18:10:59.341602,-17.46,0.0,566845.0,0.0,89.12,19.7,0,0,0,0,-17.46,-2.6,5.0,0.0,0
1789648859.3605564,2026-09-17T18:10:59.360556,-17.45,0.0,566845.0,0.0,89.03,20.8,0,0,0,0,-17.45,-2.59,5.0,0.0,0
